78.0782,1.93528,-1.35883,4.0329,6
55.2667,6.06,1,-7.2,3
36.9596,6.73282,-5.89154,1.839,5
1.22022,6.87732,1.10856,0.895935,7
5.01263,8.03667,1.44088,0.786429,10
30.3524,12.0271,-0.657547,-2.72052,9
26.5192,11.8061,6.76825,0.777811,3
13.6642,15.2111,4.73984,3.65833,3
3.43265,20.0769,-7.53229,-3.70041,7
13.7163,22.5145,5.59291,-0.115566,6
45.8,23.6667,3,-5,8
91.2229,29.0667,-2.74286,4,9
47.8262,30.0219,-4.31137,3.78938,8
82.2933,30.4933,-6.4,-5.6,10
2.60635,37.6353,9.02553,-4.33273,3
34.49,37.72,-5.6,6.4,4
62.0532,39.7479,3.61011,0.0372776,1
61.0833,44.7333,4,-1,4
45.8783,46.2899,-0.375143,-4.40497,8
24.3112,53.8832,-5.1992,-5.99171,3
38.4659,56.9496,0.00132002,-6.14453,1
49.9465,61.9864,-1.1792,-4.32481,6
54.2499,62.3247,-6.80865,2.5959,6
27.2507,69.6123,-6.05225,3.81144,7
72.1796,70.2909,-1.29469,-1.35095,9
10.2546,72.8717,-3.64106,-12.7184,1
4.67302,76.2633,-5.70056,-0.963228,5
37.4788,79.3631,0.2,-3.072,9
32.8667,81.7333,3.2,6.4,1
60.8602,82.0514,0.0508337,-4.40326,3
85.2444,83.4832,4.38637,-9.35156,2
14.2883,86.3214,-5.08246,-0.104876,10
44.2865,87.1387,-3.07487,-4.64003,8
63.06,91.6752,1.79541,-5.2151,4
49.9667,94.3582,-0.0420099,-2.8302,6
53.1643,95.3569,1.91392,5.88396,7
20.2955,96.9743,-2.13712,-3.04846,1
